"trip_id","driver_id","customer_id","trip_date","distance_km","fare_amaount","rating","vehicle_type","pickup_location"
1,74,1795,"2025-04-28",36.6,958.1,5,"Hatchback","Lucknow"
2,174,1774,"2025-12-04",26.19,636.77,2,"Sedan","Prayagraj"
3,113,1035,"2025-10-24",26.56,521.48,3,"SUV","Kanpur"
4,107,1180,"2025-04-13",36.57,727.77,2,"Hatchback","Noida"
5,43,1264,"2025-09-04",21.07,402.18,3,"Hatchback","Kanpur"
6,194,1990,"2025-04-26",19.8,319.36,4,"Hatchback","Kanpur"
7,138,1127,"2025-08-21",32.05,487.44,3,"Hatchback","Noida"
8,96,1111,"2025-12-12",16.48,405.05,2,"Mini","Kanpur"
9,84,1938,"2025-11-09",25.54,744.43,2,"Sedan","Prayagraj"
10,78,1665,"2025-07-29",33.31,954.03,1,"SUV","Kanpur"
11,127,1119,"2025-02-19",37.96,742.71,2,"SUV","Agra"
12,191,1714,"2025-10-04",19.24,482.1,4,"SUV","Agra"
13,158,1418,"2025-05-24",26.89,739.62,1,"Hatchback","Lucknow"
14,93,1102,"2025-12-18",18.85,551.52,3,"Hatchback","Kanpur"
15,32,1972,"2025-08-21",17.13,305.72,1,"SUV","Prayagraj"
16,13,1806,"2025-06-20",26.3,777.6,2,"SUV","Noida"
17,142,1213,"2025-10-28",9.8,268.98,2,"SUV","Delhi"
18,153,1003,"2025-05-22",31.43,843.26,2,"SUV","Noida"
19,170,1888,"2025-01-14",11.52,202.95,2,"Sedan","Delhi"
20,83,1017,"2025-03-31",32.02,594.58,3,"Sedan","Lucknow"
21,191,1066,"2025-09-01",30.19,691.09,4,"Hatchback","Noida"
22,57,1969,"2025-11-11",24.56,534.92,1,"Hatchback","Agra"
23,123,1868,"2025-07-25",26.45,409.11,4,"Sedan","Agra"
24,21,1330,"2025-11-08",29.07,629.47,2,"Sedan","Lucknow"
25,141,1730,"2025-06-16",12.45,304.98,4,"Hatchback","Agra"
26,180,1118,"2025-12-02",21.21,455.02,5,"SUV","Agra"
27,87,1848,"2025-08-21",19.16,353.07,4,"Mini","Prayagraj"
28,171,1262,"2025-07-11",5.61,120.06,2,"Mini","Kanpur"
29,111,1099,"2025-07-10",5.47,89.05,2,"Sedan","Noida"
30,172,1126,"2025-07-30",38.35,898.36,3,"Mini","Prayagraj"
31,80,1361,"2025-02-23",3.95,76.29,5,"SUV","Lucknow"
32,28,1359,"2025-10-12",26.96,495.08,3,"Sedan","Delhi"
33,144,1998,"2025-11-15",23.82,645.72,5,"Sedan","Noida"
34,69,1030,"2025-04-03",37.31,1023.86,3,"Hatchback","Delhi"
35,37,1580,"2025-12-03",15.34,271.84,4,"Sedan","Lucknow"
36,24,1765,"2025-09-29",30.16,892.05,2,"Mini","Agra"
37,80,1739,"2025-06-16",19.24,334.03,5,"Sedan","Kanpur"
38,13,1691,"2025-02-11",7.91,208.16,3,"Mini","Prayagraj"
39,107,1280,"2025-04-21",18.11,436.56,5,"Sedan","Delhi"
40,174,1608,"2025-09-07",18.34,353.02,5,"Hatchback","Kanpur"
41,15,1008,"2025-04-15",10.38,308.98,3,"SUV","Lucknow"
42,31,1008,"2025-09-12",31.04,600.37,4,"SUV","Lucknow"
43,129,1573,"2025-12-09",16.45,420.38,3,"Sedan","Agra"
44,5,1471,"2025-02-09",34.75,543.3,3,"Mini","Noida"
45,75,1118,"2025-07-27",17.37,427.34,1,"Hatchback","Lucknow"
46,177,1942,"2025-07-05",32.45,787.62,1,"Mini","Kanpur"
47,135,1081,"2025-07-22",11.25,268.12,3,"Hatchback","Lucknow"
48,131,1649,"2025-02-28",14.66,256.87,5,"SUV","Delhi"
49,166,1835,"2025-03-17",15.34,450.59,2,"Sedan","Lucknow"
50,40,1779,"2025-12-02",11.73,206.48,1,"SUV","Prayagraj"
51,195,1594,"2025-08-18",20.78,546.86,5,"Hatchback","Prayagraj"
52,121,1453,"2025-11-20",14.01,302.57,3,"Hatchback","Noida"
53,80,1473,"2025-08-20",4.13,93.38,1,"Sedan","Delhi"
54,24,1630,"2025-11-01",33.6,542.67,5,"Mini","Agra"
55,190,1918,"2025-01-22",24.05,704.99,4,"SUV","Delhi"
56,16,1462,"2025-02-22",24.99,562.79,3,"Sedan","Noida"
57,182,1449,"2025-08-13",26.55,413.84,5,"SUV","Delhi"
58,105,1794,"2025-06-23",16.17,311.17,5,"Sedan","Prayagraj"
59,25,1572,"2025-12-14",26.6,425.3,4,"Hatchback","Delhi"
60,155,1895,"2025-03-18",29.5,733.03,3,"Sedan","Noida"
61,80,1991,"2025-12-02",27.22,782.61,4,"SUV","Noida"
62,144,1386,"2025-11-26",28.94,470.88,3,"SUV","Prayagraj"
63,176,1935,"2025-09-27",28.71,838.52,1,"Mini","Noida"
64,47,1974,"2025-04-20",15.75,321.91,3,"Mini","Lucknow"
65,20,1303,"2025-02-21",10.61,181.04,5,"Sedan","Prayagraj"
